CATEGORY DESCRIPTION,SIC DIVISION,MAJOR GROUP,INDUSTRY GROUP,MOST SPECIFIC SIC CODE
Dimension stone mining & quarrying,B,14,141,1411
"Crushed and broken stone, including riprap",B,14,142,142
Crushed & broken limestone,B,14,142,1422
Crushed & broken limestone mining & quarrying,B,14,142,1422
Crushed & broken granite,B,14,142,1423
Crushed & broken granite mining & quarrying,B,14,142,1423
"Crushed & broken stone, n.e.c.",B,14,142,1429
Other crushed & broken stone mining & quarrying (pt),B,14,142,1429
Sand and gravel,B,14,144,144
Construction sand & gravel,B,14,144,1442
Construction sand & gravel mining,B,14,144,1442
Industrial sand,B,14,144,1446
Industrial sand mining,B,14,144,1446
"Clay, ceramic, and refractory minerals",B,14,145,145
Kaolin & ball clay,B,14,145,1455
Kaolin & ball clay mining,B,14,145,1455
"Clay, ceramic, & refractory minerals, n.e.c.",B,14,145,1459
Clay & ceramic & refractory minerals mining,B,14,145,1459
Chemical and fertilizer mineral mining,B,14,147,147
"Potash, soda, & borate minerals",B,14,147,1474
"Potash, soda, & borate mineral mining",B,14,147,1474
Phosphate rock,B,14,147,1475
Phosphate rock mining,B,14,147,1475
"Chemical & fertilizer mineral mining, n.e.c.",B,14,147,1479
Other chemical & fertilizer mineral mining,B,14,147,1479
"Nonmetallic minerals services, except fuels",B,14,148,148
"Nonmetallic minerals services, except fuels",B,14,148,1481
Support activities for nonmetallic minerals (except fuels),B,14,148,1481
"Geophys srvyng serv for nonmet min (exc fuels), contract basis",B,14,148,1481
"Miscellaneous nonmetallic minerals, except fuels",B,14,149,149
"Miscellaneous nonmetallic minerals, except fuels",B,14,149,1499
Other crushed & broken stone mining & quarrying (pt),B,14,149,1499
All other nonmetallic mineral mining,B,14,149,1499
Construction industries,C,C,C,C
Building construction--general contractors and operative builders,C,15,15,15
General contractors--residential buildings,C,15,152,152
General contractors--single-family houses,C,15,152,1521
Single-family housing construction (pt),C,15,152,1521
"General contractors--residential bldgs, other than single-family",C,15,152,1522
Multifamily housing construction (pt),C,15,152,1522
Commercial & institutional building construction (pt),C,15,152,1522
Operative builders,C,15,153,153
Operative builders,C,15,153,1531
Single-family housing construction (pt),C,15,153,1531
Multifamily housing construction (pt),C,15,153,1531
Mfg & industrial building construction (pt),C,15,153,1531
Commercial & institutional building construction (pt),C,15,153,1531
General building contractors--nonresidential buildings,C,15,154,154
General contractors--industrial buildings & warehouses,C,15,154,1541
Mfg & industrial building construction (pt),C,15,154,1541
Commercial & institutional building construction (pt),C,15,154,1541
"General contractors--nonresidential bldgs, exc indust bldgs/whses",C,15,154,1542
Commercial & institutional building construction (pt),C,15,154,1542
Heavy construction other than buildings construction--contractors,C,16,16,16
"Highway and street construction contractors, except elevated highways",C,16,161,161
"Highway & street construction contractors, exc elevated highways",C,16,161,1611
Highway & street construction,C,16,161,1611
"Heavy construction, except highway and street construction",C,16,162,162
"Bridge, tunnel, & elevated highway construction contractors",C,16,162,1622
Bridge & tunnel construction,C,16,162,1622
"Water, sewer, pipeline, & communications & power line constr",C,16,162,1623
"Water, sewer, & pipeline construction",C,16,162,1623
Power & communication transmission line construction,C,16,162,1623
"Heavy construction, n.e.c.",C,16,162,1629
Industrial nonbuilding structure construction,C,16,162,1629
All other heavy construction (pt),C,16,162,1629
Construction--Special trade contractors,C,17,17,17
"Plumbing, heating, and air-conditioning special trade contractors",C,17,171,171
"Plumbing, heating, & air-conditioning special trade contractors",C,17,171,1711
"Plumbing, heating, & air-conditioning contractors",C,17,171,1711
Painting and paper hanging special trade contractors,C,17,172,172
Painting & paper hanging special trade contractors,C,17,172,1721
Painting & wall covering contractors (pt),C,17,172,1721
Electrical work special trade contractors,C,17,173,173
Electrical work special trade contractors,C,17,173,1731
Electrical contractors,C,17,173,1731
"Masonry, stone work, tile setting, and plastering special trade contractors",C,17,174,174
"Masonry, stone setting, & oth stone work special trade contr",C,17,174,1741
Masonry & stone contractors,C,17,174,1741
"Plastering, drywall, acoustical, & insul work special trade contr",C,17,174,1742
"Drywall, plastering, acoustical, & insulation contractors (pt)",C,17,174,1742
"Terrazzo, tile, marble, & mosaic work special trade contractors",C,17,174,1743
"Drywall, plastering, acoustical, & insulation contractors (pt)",C,17,174,1743
"Tile, marble, terrazzo, & mosaic contractors",C,17,174,1743
Carpentry and floor work special trade contractors,C,17,175,175
Carpentry work special trade contractors,C,17,175,1751
Carpentry contractors,C,17,175,1751
"Floor laying & other floor work special trade contractors, n.e.c.",C,17,175,1752
Floor laying & other floor contractors,C,17,175,1752
"Roofing, siding, and sheet metal work special trade contractors",C,17,176,176
"Roofing, siding, & sheet metal work special trade contractors",C,17,176,1761
"Roofing, siding, & sheet metal contractors",C,17,176,1761
Concrete work special trade contractors,C,17,177,177
Concrete work special trade contractors,C,17,177,1771
"Drywall, plastering, acoustical, & insulation contractors (pt)",C,17,177,1771
Concrete contractors,C,17,177,1771
Water well drilling special trade contractors,C,17,178,178
Water well drilling special trade contractors,C,17,178,1781
Water well drilling contractors,C,17,178,1781
Miscellaneous special trade contractors,C,17,179,179
Structural steel erection special trade contractors,C,17,179,1791
Structural steel erection contractors,C,17,179,1791
Glass & glazing work special trade contractors,C,17,179,1793
Glass & glazing contractors (pt),C,17,179,1793
Excavation work special trade contractors,C,17,179,1794
Excavation contractors,C,17,179,1794
Wrecking & demolition work special trade contractors,C,17,179,1795
Wrecking & demolition contractors,C,17,179,1795
"Install or erection of bldg equip, special trade contr, n.e.c.",C,17,179,1796
Building equip & other machinery installation contractors,C,17,179,1796
"Special trade contractors, n.e.c.",C,17,179,1799
All other special trade contractors,C,17,179,1799
Asbestos abatement & lead paint removal,C,17,179,1799
Manufacturing,D,D,D,D
Food and kindred products,D,20,20,20
Meat products,D,20,201,201
Meat packing plants,D,20,201,2011
Animal (except poultry) slaughtering (pt),D,20,201,2011
Sausages & other prepared meats,D,20,201,2013
Meat processed from carcasses (pt),D,20,201,2013
Poultry & egg processing,D,20,201,2015
Poultry processing,D,20,201,2015
All other miscellaneous food mfg (pt),D,20,201,2015
Dairy products,D,20,202,202
Creamery butter,D,20,202,2021
Creamery butter mfg,D,20,202,2021
"Cheese, natural & processed",D,20,202,2022
Cheese mfg,D,20,202,2022
Condensed & evaporated milk,D,20,202,2023
"Dry, condensed, & evaporated dairy product mfg",D,20,202,2023
Ice cream & frozen desserts,D,20,202,2024
Ice cream & frozen dessert mfg,D,20,202,2024
Fluid milk,D,20,202,2026
Fluid milk mfg,D,20,202,2026
Preserved fruits and vegetables,D,20,203,203
Canned specialties,D,20,203,2032
Specialty canning,D,20,203,2032
All other miscellaneous food mfg (pt),D,20,203,2032
Canned fruits & vegetables,D,20,203,2033
Fruit & vegetable canning (pt),D,20,203,2033
"Dehydrated fruits, vegetables, & soups",D,20,203,2034
Flour milling (pt),D,20,203,2034
Dried & dehydrated food mfg (pt),D,20,203,2034
"Pickles, sauces, & salad dressings",D,20,203,2035
Fruit & vegetable canning (pt),D,20,203,2035
"Mayonnaise, dressing, & other prepared sauce mfg (pt)",D,20,203,2035
Frozen fruits & vegetables,D,20,203,2037
"Frozen fruit, juice, & vegetable mfg",D,20,203,2037
"Frozen specialties, n.e.c.",D,20,203,2038
Frozen specialty food mfg,D,20,203,2038
Grain mill products,D,20,204,204
Flour & other grain mill products,D,20,204,2041
Flour milling (pt),D,20,204,2041
Cereal breakfast foods,D,20,204,2043
Breakfast cereal mfg,D,20,204,2043
Coffee & tea mfg (pt),D,20,204,2043
Rice milling,D,20,204,2044
Rice milling,D,20,204,2044
Blended & prepared flour,D,20,204,2045
Flour mixes & dough mfg from purchased flour,D,20,204,2045
Wet corn milling,D,20,204,2046
Wet corn milling,D,20,204,2046
Dog & cat food,D,20,204,2047
Dog & cat food mfg,D,20,204,2047
"Prepared feeds, n.e.c.",D,20,204,2048
Other animal food mfg,D,20,204,2048
Animal (except poultry) slaughtering (pt),D,20,204,2048
Bakery products,D,20,205,205
"Bread, cake, & related products",D,20,205,2051
Commercial bakeries (pt),D,20,205,2051
Cookies & crackers,D,20,205,2052
Commercial bakeries (pt),D,20,205,2052
Cookie & cracker mfg,D,20,205,2052
Other snack food mfg (pt),D,20,205,2052
"Frozen bakery products, except bread",D,20,205,2053
"Frozen cakes, pies, & other pastries mfg",D,20,205,2053
Sugar and confectionery products,D,20,206,206
Raw cane sugar,D,20,206,2061
Sugarcane mills,D,20,206,2061
Cane sugar refining,D,20,206,2062
Cane sugar refining,D,20,206,2062
Beet sugar,D,20,206,2063
Beet sugar mfg,D,20,206,2063
Candy & other confectionery products & chewing gum,D,20,206,2064
Confectionery mfg from purchased chocolate (pt),D,20,206,2064
Nonchocolate confectionery mfg (pt),D,20,206,2064
Chocolate & cocoa products,D,20,206,2066
Chocolate & confectionery mfg from cacao beans,D,20,206,2066
Salted & roasted nuts & seeds,D,20,206,2068
Roasted nuts & peanut butter mfg (pt),D,20,206,2068
Fats and oils,D,20,207,207
Cottonseed oil mills,D,20,207,2074
Other oilseed processing (pt),D,20,207,2074
Fats & oils refining & blending (pt),D,20,207,2074
Soybean oil mills,D,20,207,2075
Soybean processing,D,20,207,2075
Fats & oils refining & blending (pt),D,20,207,2075
"Vegetable oil mills, n.e.c.",D,20,207,2076
Other oilseed processing (pt),D,20,207,2076
Fats & oils refining & blending (pt),D,20,207,2076
Animal & marine fats & oils,D,20,207,2077
Fats & oils refining & blending (pt),D,20,207,2077
Rendering & meat byproduct processing,D,20,207,2077
Seafood canning (pt),D,20,207,2077
Fresh & frozen seafood processing (pt),D,20,207,2077
Shortening & cooking oils,D,20,207,2079
Fats & oils refining & blending (pt),D,20,207,2079
Beverages,D,20,208,208
Malt beverages,D,20,208,2082
Breweries,D,20,208,2082
Malt,D,20,208,2083
Malt mfg,D,20,208,2083
"Wines, brandy, & brandy spirits",D,20,208,2084
Wineries,D,20,208,2084
"Distilled liquor, except brandy",D,20,208,2085
Distilleries,D,20,208,2085
Bottled & canned soft drinks,D,20,208,2086
Soft drink mfg,D,20,208,2086
Bottled water mfg,D,20,208,2086
"Flavoring extracts & syrups, n.e.c.",D,20,208,2087
Flavoring syrup & concentrate mfg,D,20,208,2087
Spice & extract mfg (pt),D,20,208,2087
All other miscellaneous food mfg (pt),D,20,208,2087
Miscellaneous food and kindred products,D,20,209,209
Canned & cured seafood,D,20,209,2091
Seafood canning (pt),D,20,209,2091
Fresh or frozen seafood,D,20,209,2092
Fresh & frozen seafood processing (pt),D,20,209,2092
Roasted coffee,D,20,209,2095
Coffee & tea mfg (pt),D,20,209,2095
Spice & extract mfg (pt),D,20,209,2095
Potato chips & similar snacks,D,20,209,2096
Other snack food mfg (pt),D,20,209,2096
Manufactured ice,D,20,209,2097
Ice mfg,D,20,209,2097
Macaroni & spaghetti,D,20,209,2098
Dry pasta mfg,D,20,209,2098
"Food preparations, n.e.c.",D,20,209,2099
Nonchocolate confectionery mfg (pt),D,20,209,2099
Dried & dehydrated food mfg (pt),D,20,209,2099
Tortilla mfg,D,20,209,2099
Roasted nuts & peanut butter mfg (pt),D,20,209,2099
Coffee & tea mfg (pt),D,20,209,2099
"Mayonnaise, dressing, & other prepared sauce mfg (pt)",D,20,209,2099
Spice & extract mfg (pt),D,20,209,2099
Perishable prepared food mfg,D,20,209,2099
All other miscellaneous food mfg (pt),D,20,209,2099
Tobacco products,D,21,21,21
Cigarettes,D,21,211,211
Cigarettes,D,21,211,2111
Cigarette mfg,D,21,211,2111
Cigars,D,21,212,212
Cigars,D,21,212,2121
Other tobacco product mfg (pt),D,21,212,2121
Chewing and smoking tobacco,D,21,213,213
Chewing & smoking tobacco,D,21,213,2131
Other tobacco product mfg (pt),D,21,213,2131
Tobacco stemming and redrying,D,21,214,214
Tobacco stemming & redrying,D,21,214,2141
Tobacco stemming & redrying,D,21,214,2141
Other tobacco product mfg (pt),D,21,214,2141
Textile mill products,D,22,22,22
"Broadwoven fabric mills, cotton",D,22,221,221
"Weaving mills, cotton",D,22,221,2211
Broadwoven fabric mills (pt),D,22,221,2211
"Broadwoven fabric mills, manmade fiber and silk",D,22,222,222
"Weaving mills, synthetics",D,22,222,2221
Broadwoven fabric mills (pt),D,22,222,2221
"Broadwoven fabric mills, wool",D,22,223,223
"Weaving & finishing mills, wool",D,22,223,2231
Broadwoven fabric mills (pt),D,22,223,2231
Broadwoven fabric finishing mills (pt),D,22,223,2231
Textile & fabric finishing mills (pt),D,22,223,2231
Narrow fabric mills,D,22,224,224
Narrow fabric mills,D,22,224,2241
Narrow fabric mills (pt),D,22,224,2241
Knitting mills,D,22,225,225
"Women's hosiery, except socks",D,22,225,2251
Sheer hosiery mills (pt),D,22,225,2251
"Hosiery, n.e.c.",D,22,225,2252
Sheer hosiery mills (pt),D,22,225,2252
Other hosiery & sock mills,D,22,225,2252
Knit outerwear mills,D,22,225,2253
Outerwear knitting mills (pt),D,22,225,2253
Knit underwear mills,D,22,225,2254
Underwear & nightwear knitting mills (pt),D,22,225,2254
Circular knit fabric mills,D,22,225,2257
Weft knit fabric mills,D,22,225,2257
Textile & fabric finishing mills (pt),D,22,225,2257
Lace & warp knit fabric mills,D,22,225,2258
Other knit fabric & lace mills (pt),D,22,225,2258
Textile & fabric finishing mills (pt),D,22,225,2258
"Knitting mills, n.e.c.",D,22,225,2259
Other knit fabric & lace mills (pt),D,22,225,2259
Outerwear knitting mills (pt),D,22,225,2259
Underwear & nightwear knitting mills (pt),D,22,225,2259
"Textile finishing, except wool",D,22,226,226
"Finishing plants, cotton",D,22,226,2261
Broadwoven fabric finishing mills (pt),D,22,226,2261
"Finishing plants, synthetics",D,22,226,2262
Broadwoven fabric finishing mills (pt),D,22,226,2262
"Finishing plants, n.e.c.",D,22,226,2269
Textile & fabric finishing mills (pt),D,22,226,2269
Carpets and rugs,D,22,227,227
Carpets & rugs,D,22,227,2273
Carpet & rug mills,D,22,227,2273
Yarn and thread mills,D,22,228,228
Yarn spinning mills,D,22,228,2281
Yarn spinning mills (pt),D,22,228,2281
Yarn throwing & winding mills,D,22,228,2282
"Yarn texturing, throwing, & twisting mills",D,22,228,2282
Textile & fabric finishing mills (pt),D,22,228,2282
Thread mills,D,22,228,2284
Thread mills (pt),D,22,228,2284
Textile & fabric finishing mills (pt),D,22,228,2284
Miscellaneous textile goods,D,22,229,229
"Coated fabrics, not rubberized",D,22,229,2295
Fabric coating mills (pt),D,22,229,2295
Tire cord & fabric,D,22,229,2296
Tire cord & tire fabric mills,D,22,229,2296
Nonwoven fabrics,D,22,229,2297
Nonwoven fabric mills (pt),D,22,229,2297
Cordage & twine,D,22,229,2298
"Rope, cordage, & twine mills",D,22,229,2298
"Textile goods, n.e.c.",D,22,229,2299
Yarn spinning mills (pt),D,22,229,2299
Thread mills (pt),D,22,229,2299
Broadwoven fabric mills (pt),D,22,229,2299
Narrow fabric mills (pt),D,22,229,2299
Nonwoven fabric mills (pt),D,22,229,2299
Textile & fabric finishing mills (pt),D,22,229,2299
All other miscellaneous textile product mills (pt),D,22,229,2299
Apparel and other textile products,D,23,23,23
Men's and boys' suits and coats,D,23,231,231
Men's & boys' suits & coats,D,23,231,2311
Men's & boys' cut & sew apparel contractors (pt),D,23,231,2311
"Men's & boys' cut & sew suit, coat, & overcoat mfg (pt)",D,23,231,2311
Men's and boys' furnishings,D,23,232,232
"Shirts, men's & boys'",D,23,232,2321
Men's & boys' cut & sew apparel contractors (pt),D,23,232,2321
Men's & boys' cut & sew shirt (exc work shirt) mfg (pt),D,23,232,2321
Men's & boys' underwear & nightwear,D,23,232,2322
Men's & boys' cut & sew apparel contractors (pt),D,23,232,2322
Men's & boys' cut & sew underwear & nightwear mfg (pt),D,23,232,2322
Men's & boys' neckwear,D,23,232,2323
Men's & boys' neckwear mfg,D,23,232,2323
Men's & boys' trousers & slacks,D,23,232,2325
Men's & boys' cut & sew apparel contractors (pt),D,23,232,2325
"Men's & boys' cut & sew trouser, slack, & jean mfg (pt)",D,23,232,2325
Men's & boys' work clothing,D,23,232,2326
Men's & boys' cut & sew apparel contractors (pt),D,23,232,2326
Men's & boys' cut & sew work clothing mfg,D,23,232,2326
"Men's & boys' clothing, n.e.c.",D,23,232,2329
Men's & boys' cut & sew apparel contractors (pt),D,23,232,2329
Men's & boys' cut & sew other outerwear mfg (pt),D,23,232,2329
All other cut & sew apparel mfg (pt),D,23,232,2329
Women's and children's outerwear,D,23,233,233
Women's blouses & waists,D,23,233,2331
"Women's, girls', & infants' cut & sew apparel contractors (pt)",D,23,233,2331
Women's & girls' cut & sew blouse & shirt mfg (pt),D,23,233,2331
Women's dresses,D,23,233,2335
"Women's, girls', & infants' cut & sew apparel contractors (pt)",D,23,233,2335
Women's & girls' cut & sew dress mfg (pt),D,23,233,2335
Women's suits & coats,D,23,233,2337
"Women's, girls', & infants' cut & sew apparel contractors (pt)",D,23,233,2337
"Women's & girls' cut & sew suit, coat, skirt mfg (pt)",D,23,233,2337
"Women's outerwear, n.e.c.",D,23,233,2339
"Women's, girls', & infants' cut & sew apparel contractors (pt)",D,23,233,2339
Women's & girls' cut & sew other outerwear mfg (pt),D,23,233,2339
All other cut & sew apparel mfg (pt),D,23,233,2339
Other apparel accessories & other apparel mfg (pt),D,23,233,2339
Women's and children's undergarments,D,23,234,234
Women's & children's underwear,D,23,234,2341
Men's & boys' cut & sew apparel contractors (pt),D,23,234,2341
"Women's, girls', & infants' cut & sew apparel contractors (pt)",D,23,234,2341
Men's & boys' cut & sew underwear & nightwear mfg (pt),D,23,234,2341
Women's & girls' cut/sew lingerie & nightwear mfg (pt),D,23,234,2341
Infants' cut & sew apparel mfg (pt),D,23,234,2341
Brassieres & allied garments,D,23,234,2342
"Women's, girls', & infants' cut & sew apparel contractors (pt)",D,23,234,2342
Women's & girls' cut/sew lingerie & nightwear mfg (pt),D,23,234,2342
"Hats, caps, and millinery",D,23,235,235
"Hats, caps, & millinery",D,23,235,2353
"Hat, cap, & millinery mfg",D,23,235,2353
Girls' and children's outerwear,D,23,236,236
Girls' & children's dresses & blouses,D,23,236,2361
"Women's, girls', & infants' cut & sew apparel contractors (pt)",D,23,236,2361
Men's & boys' cut & sew shirt (exc work shirt) mfg (pt),D,23,236,2361
Women's & girls' cut & sew blouse & shirt mfg (pt),D,23,236,2361
Women's & girls' cut & sew dress mfg (pt),D,23,236,2361
Infants' cut & sew apparel mfg (pt),D,23,236,2361
"Girls' & children's outerwear, n.e.c.",D,23,236,2369
"Women's, girls', & infants' cut & sew apparel contractors (pt)",D,23,236,2369
Men's & boys' cut & sew underwear & nightwear mfg (pt),D,23,236,2369
"Men's & boys' cut & sew suit, coat, & overcoat mfg (pt)",D,23,236,2369
"Men's & boys' cut & sew trouser, slack, & jean mfg (pt)",D,23,236,2369
Men's & boys' cut & sew other outerwear mfg (pt),D,23,236,2369
Women's & girls' cut/sew lingerie & nightwear mfg (pt),D,23,236,2369
"Women's & girls' cut & sew suit, coat, skirt mfg (pt)",D,23,236,2369
Women's & girls' cut & sew other outerwear mfg (pt),D,23,236,2369
Infants' cut & sew apparel mfg (pt),D,23,236,2369
Fur goods,D,23,237,237
Fur goods,D,23,237,2371
Fur & leather apparel mfg (pt),D,23,237,2371
Miscellaneous apparel and accessories,D,23,238,238
Fabric gloves & mittens,D,23,238,2381
Glove & mitten mfg (pt),D,23,238,2381
Robes & dressing gowns,D,23,238,2384
Men's & boys' cut & sew apparel contractors (pt),D,23,238,2384
"Women's, girls', & infants' cut & sew apparel contractors (pt)",D,23,238,2384
Men's & boys' cut & sew underwear & nightwear mfg (pt),D,23,238,2384
Women's & girls' cut/sew lingerie & nightwear mfg (pt),D,23,238,2384
Waterproof outer garments,D,23,238,2385
Men's & boys' cut & sew apparel contractors (pt),D,23,238,2385
"Women's, girls', & infants' cut & sew apparel contractors (pt)",D,23,238,2385
"Men's & boys' cut & sew suit, coat, & overcoat mfg (pt)",D,23,238,2385
Men's & boys' cut & sew other outerwear mfg (pt),D,23,238,2385
"Women's & girls' cut & sew suit, coat, skirt mfg (pt)",D,23,238,2385
Women's & girls' cut & sew other outerwear mfg (pt),D,23,238,2385
Infants' cut & sew apparel mfg (pt),D,23,238,2385
Other apparel accessories & other apparel mfg (pt),D,23,238,2385
Leather & sheep-lined clothing,D,23,238,2386
Fur & leather apparel mfg (pt),D,23,238,2386
Apparel belts,D,23,238,2387
Other apparel accessories & other apparel mfg (pt),D,23,238,2387
"Apparel & accessories, n.e.c.",D,23,238,2389
"Women's, girls', & infants' cut & sew apparel contractors (pt)",D,23,238,2389
Women's & girls' cut/sew lingerie & nightwear mfg (pt),D,23,238,2389
All other cut & sew apparel mfg (pt),D,23,238,2389
Other apparel accessories & other apparel mfg (pt),D,23,238,2389
Miscellaneous fabricated textile products,D,23,239,239
Curtains & draperies,D,23,239,2391
Curtain & drapery mills (pt),D,23,239,2391
"Housefurnishings, n.e.c.",D,23,239,2392
Other household textile product mills,D,23,239,2392
Textile bag mills (pt),D,23,239,2392
"Broom, brush, & mop mfg (pt)",D,23,239,2392
Textile bags,D,23,239,2393
Textile bag mills (pt),D,23,239,2393
Canvas & related products,D,23,239,2394
Canvas & related product mills,D,23,239,2394
Pleating & stitching,D,23,239,2395
All other miscellaneous textile product mills (pt),D,23,239,2395
Men's & boys' cut & sew apparel contractors (pt),D,23,239,2395
"Women's, girls', & infants' cut & sew apparel contractors (pt)",D,23,239,2395
Automotive & apparel trimmings,D,23,239,2396
All other miscellaneous textile product mills (pt),D,23,239,2396
Other apparel accessories & other apparel mfg (pt),D,23,239,2396
Commercial screen printing (pt),D,23,239,2396
Motor vehicle seating & interior trim mfg (pt),D,23,239,2396
Schiffli machine embroideries,D,23,239,2397
Schiffli machine embroidery,D,23,239,2397
"Fabricated textile products, n.e.c.",D,23,239,2399
All other miscellaneous textile product mills (pt),D,23,239,2399
